,Song,Movie,Singers,Musicians,Lyricists,Year,Lyrics
0,Machli Jal Ki Rani Hai,Santa Banta Pvt Ltd,"Sonu Nigam, Vikas Bhalla",Jaidev Kumar,Kumaar, ,"Machli jal ki rani hai Jivan uska pani hai Hath lagaoge to dar jaayegi Baahar nikaloge to mar jaayegi Machli machli.. Jaal bicha ke, scheme laga ke Jaal bicha ke, scheme laga ke Hamne roz fansani hai Old nahin bas fresh piece pe Old nahin bas fresh piece pe Hamne nazar tikani hai Machli jal ki rani hai Aji daru ke sang khaani hai x (2) Machli machli.. Daru.. daru.. Pani ni ni pani ni ni pani pani ni ni Pani mein soda, sode mein pani, pani soda x (4) Hum habbit ke rangin Apni to yehi routine Murga shurga hum nahin khate Machli ke shaukeen Haye machli ke do nain Kar dete hain bechain Arre machli ke hi sang bante hain Apne saare plan Baat humari samjh rahi hai Baat humari samjh rahi hai Duniya badi sayani hai Machli jal ki rani hai Aji daru ke sang khaani hai x (2) Machli machli.. Daru.. daru.. Machli jal ki machli machli x (2) Machli jal ki rani hai Aji daru ke sang khaani hai x (2) Daru ke sang khaani hai Aji daru ke sang khaani hai Aji daru daru daru daru Daru ke sang khaani hai"
1,Sab Tera,Baaghi,"Armaan Malik, Shraddha Kapoor",Amaal Mallik,Sanjeev Chaturvedi, ,Na jiya zindagi ek pal bhi Tujhse hoke juda sun zara Bin tere mujhse naraz tha dil Tu mila hai to hai keh raha Main to tere rang me rang chuka hu Bas tera ban chuka hu Mera mujhme kuchh nahin Sab tera Main to tere dhang me dhal chuki hu Bas teri bann chuki hu Mera mujhme kuch nahin Sab tera x (4) Phir dil ke raston pe Teri aahat jo hui Har dhadkan jashn me hai Inayat jo hui Phir dil ke raston pe Teri aahat jo hui Har dhadkan jashn me hai Inayat jo hui Main to tujhe milke jee uthi hu Teri dhadkan me chhupi hu Mera mujhme kuch nahin Sab tera x (3)
2,Pee Daala Maine,Club Dancer,"Sunidhi Chauhan, Varinder Vizz",Varinder Vizz,Paramjeet Singh Saajan, ,"Ik sip, ik sip karte karte Pee gaya peg Patiala Ek peg ne isko dekho Deewana kar dala Arre dhanno kyaa kar dala Come on people at the party Get on and move that body Get groove it, get nasty Take a sip just gone crazy Ik sip, ik sip karte karte Pee gaya peg Patiala Ek peg ne mujhko yaaron Deewana kar dala Hye hoye! Darling ke ek ishare se Tu ghat ghat pee gaya mhare se x (2) Pee dala, maine pee dala Maine pee dala, haaye.. Peg Patiala pee dala Maine peg Patiala Peg Patiala pee dala Aaye haye haye Jism mere ki garmi se Haye khud ko zara sambhalo Ang-ang hai mera bohat nasheela Paimane par dalo Mehfil mein kahin behak na jaoon Mujhko gale lgao Mere do nainon ke pyale Madhosh tujhe kar dalein x (2) Kar dala, mera kar dala Mera chhalni seena kar dala Pee dala, maine pee dala Maine pee dala You are my one desire Get up and do the twist C’mon c’mon and with this Current lage hai tann mann mein Haye pyar se jab tu chhoota hai Dekh ke meri angdaai Tujhe tension kyun re hota hai Ho deewana jab koyi hota hai Chain wain sb khota hai Main bhi hoon teri saudaai Tujhko yeh samjh kyun na aayi x (2) Bhar dala, maine bhar dala Maine prem pyala bhar dala Peg Patiala pee dala Maine peg Patiala Peg Patiala pee dala Toone peg Patiala Peg Patiala pee dala Maine peg Patiala Peg Patiala pee dala Oye chakk de phatte"
3,Single Chal Riya Hai,Cute Kameena,Mohit Chauhan,Krsna Solo,Raj Shekhar, ,"Tere khayalon mein ab Har din dhal riya hai Aaj-kal dil mera waise Single chal riya hai x (2) Pichhli February hum to the ajnabi Kuchh to hogi vajah mile jo hum sahi Lambi si saans bhar ke Aakhein kuchh moond kar ke Socta hoon tumse poochh loon ya nahin Kya? Teri palkon mein bhi wo Sapna pal riya hai Aaj-kal dil mera waise Single chal riya hai Shaayar ik mere shehar ka Yoon shagufe chhodta hai Ishq ke naghmon ke tuk bhi Ba-mashaqat jodta hai x (2) Yahan to khud-ba-khud hi Dekho kaafiya kaise mil riya hai haye Ta ra ra tara tara Paari papa paari pe Tara ra ta tara tara Single chal riya hai Malwa ke aasmaan pe Kisne ki phulkaariyan yeh De gaya koi choom kar ke jaise Umra bhar ki khumaariyan yeh x (2) Ab har taraf hawa ka maano Seb phal riya hai Tu hai ab bhi akeli Humko khal riya hai Aaj-kal dil mera waise Single chal riya hai Tere khayalon mein ab Har din dhal riya hai Aaj-kal dil mera waise Single chal riya hai Single chal riya hai x (4) Na na na.. Single chal riya hai Dil mera, dil mera Single chal riya hai"
4,Mama Miya,Club Dancer,Sunidhi Chauhan,Sunjoy Basu,Diksha Jyoti, ,"Mama miya, mama miya Mama miya, mama miyan You know my name is Priya Mama miya, mama miya Mama miya, mama miyan You know my name is Priya Chhup chhup ke kyon dekhe mujhe Aakhon se aakhein mila Mama miya, mama miya Mama miya, mama miyan You know my name is Priya Mama miya, mama miya Mama miya, mama miyan You know my name is Priya Lutt jaati hain mit jaati hai Duniya meri aah mein Parwah nahi karti hun main Chaahe tu kucch bhi kahe Masha-allah meri adda You know my name is Priya Mama miya, mama miya Mama miya, mama miyan You know my name is Priya"
5,Awargi,Love Games,"Sangeet Haldipur, Rasika Shekar","Sangeet Haldipur, Siddharth Haldipur",Kausar Munir, ,"Awargi se dil bhar gaya Teri galli mein rehne laga Jaise kabhi bhi kee na kisi ki Teri fiqar mein rehne laga Tere ansoo piyun main Kabhi tujhko hansaoon Tujhe door se dekhoon Kabhi dil mein basaoon Tere khatir jiyoon main Kabhi tujhpe lutaoon Yeh jaan meri jaan hai tu Tere khuda se maangun main kya Mujhko duayein aati nahin Tujhse mohabbat kaise karoon main Mujhko wafaayein aati nahin Tujhe dekh ke lekin Yeh dil dagamgaaye Mujhe meri nazar mein Tu mujhko uthaaye Mera imaan meri jaan hai tu Bas tu, hai tu"
6,Saathi Rey,Kapoor and Sons,Arko Pravo Mukherjee,Arko Pravo Mukherjee,Manoj Muntashir, ,"Saathi rey thoda thehar ja Abhi raste kuchh badal se jayenge Oh saathi rey thoda thehar ja Yeh paaon bhi ab sambhal se jayenge Phir wahi barsat hogi Aur ashq saare dhul se jayenge Roshini din raat hogi Aur sab jharoke khul se jayenge Yaara tu hi to bandagi hai Yaara tu hi dua Yaara kaisi yeh berukhi hai Kyu juda tu hua Kehna tha aur kya kya mujhe Neend kyu aa gayi phir tujhe Saathi re thoda sa thehar ja Abhi mausamo ka badalna baaqi hai Oh saathi rey thoda thehar ja Kuchh door saath chalna baaqi hai Phir unhin raston pe Tere mere kadmon ka milna baaqi hai Dard mein, ranjisho mein Sang bujhna aur jalna baaqi hai Yaara tu hi to bandagi hai Yaara tu hi dua Yaara kaisi yeh berukhi hai Kyu juda tu hua x (2) Haan tere aur meri darmiyan Ab bhi baaqi hai ik daastan"
7,Let’s Nacho,Kapoor and Sons,"Badshah, Benny Dayal","Benny Dayal, Nucleya","Kumaar, Christopher Pradeep", ,"Hone laga sunset hai Bhaai tera full set hai Motion bhi dekho mera ban-ne laga Dekho to haseena ko Wanna be Kareena ko Thumkon ko fever hai chadhne laga Thoda hard sa hoke Thoda gentle sa hoke Thoda senti sa hoke Thoda mental sa hoke Sare, sare.. Let’s nacho, chalo nacho Everybody let’s nacho Chalo nacho, chalo nacho! Meow! Kar dance full, romance full Kar dance full, oh baat sun le x (2) Ho nacho, ho nacho, ho nacho Everybody let’s nacho Chadha hai bukhar Party karni lagaatar Mere yaar din char Zindagi ke tu jeele Ho jao taiyyar Yeh gaana hai on repeat Dekho bajjti hai beat Na pado tum dheele Bakwaas bhula ke koyi step sa bana ke Hath upar uthaa ke poori jaan laga ke Sare, sare, sare, sare, sare Let’s nacho Everybody let’s naacho Ho nacho, ho nacho, ho nacho Everybody let’s nacho"
8,Dheere Dheere,Jai Gangaajal,Pravesh Mallick,Salim-Sulaiman,Manoj Muntashir, ,"Dheere dheere dheere dheere Dheere dheere dheere dheere x (2) Angiya pehna do saiyyan dheere dheere Dheere dheere dheere dheere Dheere dheere dheere dheere Chunri odha do saiyyan dheere dheere Dheere dheere dheere dheere Dheere dheere dheere dheere Angiya pehna do saiyyan dheere dheere Dheere dheere Chunri odha do saiyyan dheere dheere Dheere dheere Hamri jawani jaise Laila ki kahani Na tu karo manmaani Band karo kheencha taani Jawani, kahani, manmaani, kheencha taani Haye chatni chata do saiyyan dheere dheere Chatni chata do saiyyan dheere dheere Haye angiya pehna do saiyyan dheere dheere Ho chunri odha do saiyyan dheere dheere Dheere dheere dheere dheere Dheere dheere dheere dheere Darji se roj mori jung hoyi jaave Aaj sile choli kal tang hoyi jaave Tang hoyi jaave x (2) Hey dada re Hey gadar macha do saiyyan dheere dheere Dheere dheere Gadar macha do saiyyan dheere dheere Dheere dheere Hey hamri jawani jaise Laila ki kahani Na tu karo manmaani Band karo kheencha taani Jawani, kahani, manmaani, kheencha taani Ae chatni chata do saiyyan dheere dheere Haye chatni chata do saiyyan dheere dheere Haye angiya pehna do saiyyan dheere dheere Ho chunri odha do saiyyan dheere dheere Dheere dheere dheere dheere Dheere dheere dheere dheere Joban chiraiya sun kuhu kuhu bole Bin tore pinjra piya ko na khole Piya ko na khole x (2) Aye chimni Haye chimni bujha do saiyyan dheere dheere Dheere dheere Haye chimni bujha do saiyyan dheere dheere Dheere dheere Hamri jawani jaise Laila ki kahani Na tu karo manmaani Band karo kheencha taani Jawani, kahani, manmaani, kheencha taani Haye chatni chata do saiyyan dheere dheere Haye chatni chata do saiyyan dheere dheere Ho angiya pehna do saiyyan dheere dheere Ho chunri odha do saiyyan dheere dheere Dheere dheere dheere dheere Dheere dheere dheere dheere"
9,Joganiya,Jai Gangaajal,Udit Narayan,Salim-Sulaiman,Manoj Muntashir, ,"Naar aisi nakhreeli Jaise geeli geeli teeli Jale bujhe yeh raseeli din rain Kaisa meetha yeh zehar, zehar Yeh to usse hi khabar, khabar Jise dasse le yeh kaare, kaare nain Pahin ke dus tole ka haar Chadha ke kurti kalgidaar Pahin ke dus tole ka haar Chadha ke kurti kalgidaar Macha chau tarfa hahakaar Joganiya, joganiya Joganiya naache beech bazaar x (8) Joganiya oho, joganiya aaho, joganiya x (2) Hey ghazab jawani daiya daiya Jiya ho raani daiya daiya Arre ghazab jawani daiya daiya Jiya ho raani daiya daiya Roop ne kaisa rog lagaya Roop ne kaisa rog lagaya Saara gaanv phire bauraya Saara gaanv phire bauraya Sipahiya chaahe rach ke pyar Gujariaya maange bees hajaar Sipahiya chaahe rach ke pyar Gujariaya maange bees hajaar Macha chau tarfa hahakaar Joganiya, joganiya Joganiya naache beech bazaar x (16) Joganiya, joganiya"
10,Sab Dhan Maati,Jai Gangaajal,Arijit Singh,Salim-Sulaiman,Manoj Muntashir, ,"Madd maya mein lutta re kabeera ho Madd maya mein luta re kabeera Kanch ko samjha kanchan heera Jhar gaye sapne paati paati Aankh khule to sab dhan maati Aankh khule to sab dhan maati Sapne hain laal jawan har tole Sapne hain laal jawan har tole Heere manik moti hi raule Mehal dumehle, ghode, hathi Aankh khule to sab dhan maati Aankh khule to sab dhan maati Khul gayi jehi din Karam gathariya haan HO khul gayi jehi din karam gathariya Dhoo dhoo bar gayi sapan nagariya Koyla hoi gayi saari chaandi Aankh khule to sab dhan maati Aankh khule to sab dhan maati"
11,Ji Huzoori,Ki and Ka,"Mithoon, Deepali",Mithoon,Sayeed Quadri, ,Meri har khushi mein ho teri khushi Mohabbat mein aisa zaruri nahin Tu jab milna chaahe na mil saku Na milna mera koyi doori nahin Mohabbat hai yeh ji huzoori nahi x (6) Meri har khushi mein ho teri khushi Mohabbat mein aisa zaruri nahin x (2) Tu jab milna chaahe na mil saku Na milna mera koyi doori nahin Jee haan Mohabbat hai yeh ji huzoori nahin x (4) Mujhko ehsas hai par main kehta nahin Mohabbat hai yeh ji huzuri nahin Paas pehle ke jitna main rehta nahi Mohabbat hai yeh ji hazoori nahi Yeh takaaza hai mere halat ka Lena dena hai nahin Kuchh bhi jazbaat ka Yeh sach baat tujhse main keh raha Na aayi hai inmein zara si kami Jee haan Mohabbat hai yeh ji huzoori nahin x (4) Tujhko manana mujhe mujhe to aata nahi Mohabbat hai yeh ji huzuri nahin Par yeh nahin ke tujhe main chahata nahin Mohabbat hai yeh ji hazoori nahi Waqt badla hai zaraa sa Main wahi hun jaan-e-jaan Kaise tujhko baat main yeh samjhain sathiya Kaise khush tujhe rakhoon nahin bata Par chaahta hoon tere labbon pe hansi Mohabbat hai yeh ji huzoori nahin Jee haan x (4) Meri har khushi mein ho teri khushi Mohabbat mein aisa zaruri nahin x (2) Tu jab milna chaahe na mil saku Na milna mera koyi doori nahin Jee haan Mohabbat hai yeh ji huzoori nahin x (4) Meri har khushi mein ho teri khushi Mohabbat mein aisa zaruri nahin Tu jab milna chaahe na mil saku Na milna mera koyi doori nahin
12,Pump It,Ki and Ka,"Meet Bros Anjjan, Yash Narvekar",Meet Bros Anjjan,Kumaar, ,"Body mein jo music hai Usmein bhi to magic hai Haan body mein jo music hai Usmein bhi to magic hai Ismein jo rhythm hai Woh feel karo tum Yeh jo dil ke woofer hain Bajte neeche upar hain Ismein jo rhythm hai Woh feel karo tum Masti ki groove par Left right move kar Baby full speed mein shake your Bum bum bum bum bum bum Fiqron ko phenk kar Aage peechhe dekh kar Yaaro sab peeth utha ke Jump jump jump jump Pump it, pump it, pum pum pa pa pum Pump it, pump it, pum pum pa pa pum Pump it, pump it, pum pum pa pa pum Dil yeh kare shout x (2) Pump it, pump it x (3) Life ko beautiful Hone hone hone do Khud ko hi khud mein tum Khone khone khone do Keh do yeh sabko jaa ke Koyi na disturb kare Hil hil ke aaj hila do Kone kone kone ko Thoda sa freak ho, style bhi unique ho Baby full speed mein shake your Bum bum bum bum bum bum Fiqron ko phenk kar Aage peechhe dekh kar Yaaro sab peeth utha ke Jump jump jump jump Pump it, pump it, pum pum pa pa pum Pump it, pump it, pum pum pa pa pum Pump it, pump it, pum pum pa pa pum Dil yeh kare shout x (2) Aate hain lovely lamhe Aane aane aane do Jaate hain ched ke tumko Jaane jaane jaane do Mudke na aayegi yeh Life naughty naughty aaj Chaaya hai crazy nasha Chaane chaane chaane do Baat meri note kar, body ko hot kar Baby full speed mein shake your Bum bum bum bum bum bum Fiqron ko phenk kar Aage peechhe dekh kar Yaaro sab peeth utha ke Jump jump jump jump Pump it, pump it, pum pum pa pa pum Pump it, pump it, pum pum pa pa pum Pump it, pump it, pum pum pa pa pum Dil yeh kare shout x (2)"
13,Kabir Most Wanted Munda,Ki & Ka,"Arjun Kapoor, Meet Bros Anjjan, Palak Muchhal",Meet Bros Anjjan,Kumaar, ,"Most wanted, most wanted Most wanted munda x (4) Mujh mein hai hazaar khoobiyan Koyi ni hai ga like him Mile na mere jaisa koyi Smile teri kardi hai kill x (2) Sare shehar mein dhoondhe To ik bas main hoon only Oh soni kendi meet me just let me know Baby when you are lonely Har ladki soche kash yeh life mein Yeh hunda, hunda, hunda ae Main hoon most wanted munda Kehti hai har kudi Haan main hu most wanted munda Kehti hai har kudi Yo I’m most wanted munda Kehti hai har kudi Munda can shop, munda can chop Kendi bargaining mein hai top Munda hai ga smart, master of the art Iske to seene mein kudiyon waala heart He doesn’t need to make any money shoney Money shoney, money shoney But he feels on top like a honey bunny Honey bunny, honey bunny You won’t fall in love with him The chances are slim There’s nobody hai ga like him Munda yeh perfect hai Charcha hai isske naam ka Special Rab ne banaya hai Bas yehi to hai ik kaam ka x (2) Mere hi naam se hasinon ki Chalti hai heartbeat Mere hi vaste kudiyon mein Hoti hai maar peet Lakhon mein se hai yaar mujhko Dhoondha, dhoondha, dhoondha Main hu most wanted, sabse zyaada Most wanted munda Kehti hai har kudi Haan main hu most wanted munda Kehti hai har kudi Yo I’m most wanted munda Kehti hai har kudi x (2) Most wanted munda"
14,Most Wanted Munda,Ki and Ka,"Meet Bros Anjjan, Earl Edgar",Meet Bros Anjjan,Kumaar, ,"Nobody haiga like him x (2) Isme to hazar khoobiyan Nobody haiga like him Milega na iske jaisa chaahe Chirag leke dhoondo raat din Thoda sushil hai, sundar hai Aur thoda homely Sambhaale sabko ghar ke kaam kare Hai man of family Har lakdi bole kaash life mein Yeh hunda hunda hunda ae Yeh hai most wanted munda Kehti hai har kudi Yeh hai most wanted munda Kehti hai har kudi He is the most wanted munda Kehti hai har kudi Munda can shop, munda can chop Kende bargaing mein hai yeh top Munda haiga smart, master of the art Isske to seene mein kudiyo waala heart He doesn’t need to make any money shoney Money shoney, money shoney But he feels on top like a honey bunny Honey bunny, honey bunny That you won’t fall in love With him chances are slim There’s nobody hega like him Munda yeh perfect hai Charcha hai isske naam ka Ho special rab ne banaaya hai Bas yehi to hai ik kaam ka Arre re iski to fan hain Yeh saari auntiyan Arre re isske hi to door pe Sab maare ghantiyan Bas ik baari tu khol de Ghar ka kunda kunda kunda oye Yeh hai most wanted munda Kehti hai har kudi Yeh hai most wanted munda Kehti hai har kudi He is the most wanted munda Kehti hai har kudi Isme to hazar khoobiyan Nobody haiga like him Milega na iske jaisa chaahe Chirag leke dhoondo raat din Thoda sushil hai, sundar hai Aur thoda homely Sambhaale sabko ghar ke kaam kare Hai man of family Har lakdi bole kaash life mein Yeh hunda hunda hunda ae I am most wanted sabse zyaada Most wanted munda Kehti hai har kudi Yeh hai most wanted munda Kehti hai har kudi He is the most wanted munda Kehti hai har kudi"
15,Foolishq,Ki & Ka,"Armaan Malik, Shreya Ghoshal",Ilaiyaraaja,Amitabh Bhattacharya, ,"Foolishq foolishq tera mera Foolishq fool ishq tedha medha x (2) Dil jispe aana na ho Uss pe hi aata hai kyon Jis tarfa jana na ho Uss tarfa jata hai kyon Jata hai kyon Foolishq foolishq tera mera Foolishq fool ishq tedha medha Foolishq foolishq kuchh kuchh mera Foolishq fool ishq zyada tera Sansaniyaan tan-man mein Gadbadiyaan dhadkan mein Karta hai kyon karta hai Par isski sohbat mein Rehne ko phir bhi dil Karta hai, kyon karta hai Foolishq thoda hai yeh mana Fool ishq ka hi hai zamana Dil ko achchha laghta hai to Aakhein is se kyon churana Qismat walo ko milta hai yeh nazrana Foolishq foolishq tera mera Achchha hi hai tedha medha Foolishq foolishq tera mera Foolishq fool ishq tedha medha Hothon pe aur kuchh hai Par dil mein aur kuchh hai Donon mein ik to sach hai Dil sachcha hoga to Sach woh hi bolega Phir kaisi yeh mach mach hai Foolishq dil ki nadani hai Dil ki aadat bach-kani hai Fool ishq se hi darta hai yeh Phir bhi foolishq karta hai yeh Bhula ke bhi bhulaya to yeh jaaye na Foolishq foolishq tera mera Foolishq fool ishq tedha medha Foolishq fool ishq tera mera Achchha hi hai tedha medha"
16,Tere Naina Mere Naino Se,Awesome Mausam,"Shaan, Palak Muchhal",Komal Aran Atariya,Yogesh Bhardwaj, ,"Tere naina mere naino se laage To mere dil ko karaar aaya Haan haan.. Tere yeh naina mere naino se laage To mere dil ko karaar aaya Kaisa yeh deewanapan Kaisi yeh laagi lagan Kaisa nasha chhaya Kya ho raha tumko khabar Hai ke nahi oh bekhabar Haan haan.. Ishq ishq hai, ishq ishq hai Ishq ishq hai ishq x (2) Kya cheez hai jo Meri raghon mein samaane lagi Mere dil ki dhadkan Tere taraane gaane lagi Tumhein dekhkar ajab sa ehsaas hai Kuchh bhi nazar na aaye jo tu paas hai Kya ho raha tumko khabar Hai ke nahi oh bekhabar Haan haan.. Ishq ishq hai, ishq ishq hai Ishq ishq hai ishq x (2)"
17,Laila Majnu,Awesome Mausam,"Javed Ali, Monali Thakur",Mannishankar,Yogesh Bhardwaj, ,"Ho do jism ek jaan Do jism ek jaan ik dooje pe kurban Yeh dastan-e-Laila Laila Laila majnu Yeh dastan-e-Laila Laila Laila majnu Yeh dastan-e Laila Laila Laila majnu x (3) Laila, Laila, Laila, Laila Meri majbooriyan samajh lena Haal-e-dil tumse main kahoon kaise Aa gaya kaam yeh diwanapan Varna is gham ko main sahoon kaise In bujhti aankhon ko hai tera intezar Dum ghutne se pehle tu aaja ek baar Malik-e do jahan Malik-e do jahan yeh kaisa imtehan Yeh dastan-e Laila Laila Laila majnu x (2) Yeh dastan-e Laila Laila Laila majnu x (3)"
18,Bolna,Kapoor & Sons,"Arijit Singh, Asees Kaur",Tanishk Bagchi,Dr. Devender Kafir, ,"Chutteya na choote mose Rang tera dolna Ik tere baajo duja Mera koyi mol na Bolna maahi bolna Bol na maahi bol na Tere sang hansna main Tere sang rona Tujhmein hi rehna main Tujhmein hi khona Dil mein chupa ke tujhe Dil nahiyo kholna Mar ke bhi maahi tose muh na modna Bolna maahi bolna Bol na maahi bol na Chutteya na choote mose Rang tera dolna Ik tere baajo duja Mera koyi mol na Bolna maahi bolna, bolna Bol na maahi bol na Maahi bolna"
